siren,nom,naf,activite,adresse,code_postal,date_creation,dirigeant
105834683,JADE KAIDJAYAN,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),15 VILLA AUBLET 75017 PARIS,75017,2026-09-15,
108052291,LE TRAITEUR DES DAMES,56.10A,Restauration traditionnelle,ANGLE DES 2 RUE LEMERCIER ET 14 RUE 14 RUE DES DAMES 75017 PARIS,75017,2026-09-01,KAMEL AMRANE
108352782,RAIBROS,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),178 RUE MARCADET 75018 PARIS,75018,2026-09-01,"HARVINDER SINGH, SANDEEP SINGH RAI"
108557265,SIMONE,56.30Z,"Débits de boissons (coffee shops, bars à café)",62 RUE DE LA JONQUIERE 75017 PARIS,75017,2026-09-01,JUSTINE SIMON
106538507,MIA SOCIETY (SAMBA FC),56.10A,Restauration traditionnelle,29 RUE LAMBERT 75018 PARIS,75018,2026-08-26,TIMOTHÉE PAUL BAPTISTE XAVIER RIVE-DECAILLOT
109167999,CHEZ CLJ,56.10A,Restauration traditionnelle,37 RUE SAINT-FERDINAND 75017 PARIS,75017,2026-08-25,XIAOWEI WANG
109167734,MOK,56.10A,Restauration traditionnelle,81 RUE TRUFFAUT 75017 PARIS,75017,2026-08-25,
108973785,FANNY RENOLD,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),106 B BOULEVARD NEY 75018 PARIS,75018,2026-08-20,FANNY RENOLD
108431636,NEYLA S EVENT (NEYLA'S EVENT),56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),75018 15 RUE DE TORCY 75018 PARIS,75018,2026-08-15,KADIDIA TRAORE
108875964,ATELIER ALMA KITCHEN,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),47 RUE DE PRONY 75017 PARIS,75017,2026-08-12,GUERCHON DARMON
108715087,LK DOUDEAUVILLE,56.10C,Restauration rapide (souvent utilisé aussi par les coffee shops),15 RUE DOUDEAUVILLE 75018 PARIS,75018,2026-08-06,KHALID LHADJ
108520263,NIOCH CORPORATION SAS,56.10A,Restauration traditionnelle,13 RUE DURANTIN 75018 PARIS,75018,2026-08-05,PAUL NIOCHAU
